channel 1  channel 2  channel 3  channel 4

2.203102  16.678832  24.138810  38.566542
13.942639  23.430475  32.488110  46.123932
23.076142  32.605287  38.216668  52.600906
29.554965  37.983365  46.007992  53.177747
32.253722  43.803225  51.562000  60.541150
45.544134  51.100017  57.784181  65.582721
45.428144  57.209171  66.954894  75.391463
56.288688  65.010633  70.266191  81.522078
61.573718  69.353398  75.163997  86.389393
70.038040  78.232305  83.787491  89.213636
76.528347  83.221393  91.808454  98.112952
79.821211  84.240248  93.160982  97.550792
87.293588  89.665145  99.686252  105.632665
93.160982  99.573910  102.605231  105.968813
92.822931  98.899739  107.760834  106.640972
97.888105  101.258466  109.887205  109.551580
99.236850  110.334638  109.999071  113.241100
106.752981  111.788267  116.367652  118.264217
109.215911  111.117462  117.706534  117.929620
111.900052  118.375741  119.379263  116.479249
115.139785  116.256050  120.493886  120.493886
116.925596  117.483431  117.148743  118.041157
117.483431  121.385285  120.048087  122.944605
120.716760  118.821793  117.483431  119.936627
119.602221  116.925596  120.605325  117.818080
117.483431  122.610531  115.809597  118.933296
121.051041  117.371873  116.256050  111.229274
122.276422  118.710287  112.570660  114.246450
120.159543  116.256050  110.558326  106.640972
118.598776  113.464544  107.648870  105.632665
116.032832  110.446485  105.408541  102.493030
113.352824  109.999071  104.960230  97.888105
106.752981  103.951228  101.931946  90.455046
106.304916  102.268612  94.850426  86.276339
105.744720  100.023246  91.131861  82.881653
98.562579  91.808454  88.310313  77.323730
94.062185  86.276339  84.013883  71.520466
91.470185  83.221393  73.001587  68.896811
87.180586  76.641995  69.353398  63.636776
76.187359  75.163997  63.751310  51.215527
74.140035  63.522234  59.393028  48.672091
69.125120  57.324191  52.831671  38.216668
59.163299  54.676444  42.292578  37.166464
53.984933  45.080114  34.127561  28.497259
51.331028  40.896579  30.376971  21.302803
40.314468  29.789882  18.696799  8.927812
37.283197  27.791594  12.870045  1.841574
28.379678  14.299930  4.730122  -3.094023
22.603524  11.796362  0.394138  -13.653700
12.870045  0.756196  -6.015942  -19.615126
5.450960  -6.505431  -14.397051  -25.360298
-0.565442  -14.644958  -22.608303  -29.505831
-7.608883  -16.506127  -32.536338  -41.853831
-19.241581  -23.483026  -38.004957  -43.918829
-27.367404  -33.803419  -48.336790  -55.705856
-28.498718  -45.732997  -49.120758  -64.003933
-41.467613  -47.423820  -60.237921  -71.767770
-45.603184  -55.838519  -66.984764  -76.186553
-53.192468  -62.655390  -70.395983  -79.530995
-60.103988  -68.891867  -79.391102  -89.737698
-70.670003  -75.354582  -85.735580  -90.889456
-77.020158  -86.447033  -91.322354  -98.179212
-80.651872  -91.177994  -97.884421  -109.146023
-85.451379  -94.805668  -102.037718  -108.075742
-90.889456  -104.437492  -107.466038  -110.682426
-95.389812  -105.191564  -110.374436  -122.508574
-102.785511  -106.402300  -118.345038  -120.578059
-110.990773  -118.186311  -123.966762  -120.417878
-110.220575  -116.446982  -126.417325  -127.900171
-121.541380  -126.089092  -123.966762  -124.454828
-120.257802  -125.107164  -128.065524  -130.560357
-123.966762  -126.417325  -131.734145  -130.560357
-123.479703  -129.725686  -125.434014  -123.641945
-123.641945  -126.253150  -130.560357  -122.670154
-132.239098  -133.083258  -124.780769  -125.270532
-127.569823  -123.479703  -130.560357  -119.459000
-126.746023  -128.728135  -128.065524  -120.257802
-130.226117  -127.075189  -117.394200  -116.289460
-124.129339  -126.417325  -118.345038  -113.938334
-123.641945  -116.604603  -114.406824  -109.452599
-118.980969  -115.660358  -109.146023  -104.437492
-122.185742  -109.913120  -109.146023  -97.148664
-110.066803  -107.466038  -98.031782  -92.624351
-110.220575  -99.805634  -94.368248  -87.874073
-100.102284  -95.828616  -91.755799  -81.354007
-102.486164  -89.163235  -78.832010  -72.730556
-97.737131  -86.731997  -80.091046  -65.762983
-90.889456  -75.909049  -66.577140  -59.167544
-79.391102  -69.301581  -66.712974  -55.838519
-73.006026  -64.409269  -57.833053  -48.859289
-70.807076  -57.300334  -49.644137  -39.541004
-62.251597  -49.906048  -38.516466  -28.247164
-53.720467  -42.885233  -31.145582  -19.988800
-49.513237  -35.327563  -26.739634  -17.375765
-42.111478  -26.237783  -21.734378  -8.345970
-31.271887  -22.858141  -10.439674  -2.368431
-25.736248  -16.754525  -0.924654  4.489729
-18.370474  -4.064795  7.130919  16.678832
-7.240760  2.203102  10.721581  24.492813
-3.578961  11.557617  17.153984  27.438602
